,Name,ERA,K/9,BB/9,HR/9
145,김건국,3.978948167288563,8.81052808471039,2.5578952503997905,0.568421166755509
146,김세현,5.7857153367024985,7.500001362392128,4.714286570646481,1.5000002724784256
147,장원삼,7.676470588235294,3.9705882352941178,2.647058823529412,1.588235294117647
148,김상수,4.733767406356466,8.415586500189274,3.6818190938328073,0.5259741562618296
149,진해수,4.320002307130139,10.620005671694924,4.140002210999716,0.5400002883912673
150,유원상,3.796875678934278,5.203125930391418,3.937500704079993,1.125000201165712
151,김강률,3.5357152491202357,9.000002452306052,6.428573180218609,0.3214286590109305
152,백정현,5.186440677966102,7.016949152542373,2.593220338983051,1.9830508474576272
153,장필준,5.750000609291989,6.500000688764857,4.000000423855297,1.5000001589457364
154,정찬헌,3.5075530317855343,6.93353506283187,2.5287010229151528,0.8157100073919847
155,홍상삼,5.0625016093259205,11.437503635884488,10.12500321865184,0.9375002980233186
156,임창민,5.256638587786538,10.513277175573077,5.495576705413199,0.9557524705066432
157,최동환,3.4736849079503327,6.631580278814272,1.8947372225183632,0.9473686112591816
158,유희관,5.017115101601714,3.696821653811789,2.574572223190353,0.9242054134529472
159,오현택,3.750001589457868,4.250001801385584,2.000000847710863,1.250000529819289
160,강윤구,6.857145971182855,6.428574347983927,4.714287855188213,1.2857148695967855
161,장민재,6.75000059881881,5.023256259586091,2.0406978554568496,0.7848837905603268
162,여건욱,7.156628150624689,5.855423032329291,1.301205118295398,2.602410236590796
163,권오준,8.43750201165724,5.625001341104827,1.6875004023314482,1.6875004023314482
164,이민호,3.686006921918093,6.174061594212804,4.054607614109901,0.4607508652397615
165,김윤식,6.251231762035041,5.054187382070885,3.192118346571085,0.9310345177498998
166,브룩스,2.4977974407783354,7.731277792885324,1.427312823301906,0.2378854705503176
167,채지선,4.909092611518378,9.272730488423605,6.545456815357838,0.8181821019197297
168,김주온,7.548388025639198,5.225807094673291,6.387097560156245,1.451613081853692
169,김현준,12.558143155649342,7.534885893389604,8.162793051172072,1.2558143155649342
170,김재웅,4.675978151883829,7.692738249873396,3.469274112688002,1.0558660342963484
171,소형준,3.857142857142857,6.225563909774436,3.045112781954887,0.4060150375939849
172,허윤동,4.8,3.6,6.2,0.8
173,윤대경,1.588235650508129,7.411766369037935,4.411765695855914,0.5294118835027096
174,강재민,2.571429171993296,10.469390200258418,3.306123221134237,0.5510205368557063
175,조병욱,7.623529753899507,3.494117803870608,4.129411950028899,1.2705882923165843
176,이승민,6.835443368039837,5.46835469443187,6.493671199637845,1.7088608420099594
177,김진호,8.709677687296642,6.096774381107649,6.9677421498373135,4.354838843648321
178,정해영,3.2869576120650623,7.513045970434428,5.6347844778258205,0.4695653731521517
179,서덕원,9.257144118328656,4.628572059164328,3.085714706109552,3.85714338263694
180,최준용,4.853933624510524,7.887642139829602,3.3370793668509853,0.9101125545957232
181,이정용,3.705883184518968,8.73529607779471,3.705883184518968,1.588235650508129
182,신민혁,5.7857148112083445,5.571429077459888,2.785714538729944,2.142857337484572
183,권휘,5.268293663265631,6.585367079082038,3.951220247449223,0.6585367079082038
184,김재열,6.872728464426294,6.381819288395845,5.890910112365395,1.4727275280913488
185,남호,3.927272999661047,6.872727749406832,5.8909094994915705,0.4909091249576308
186,심창민,7.524592752003913,9.295085164240128,7.967215855062967,1.3278693091771612
187,양기현,3.8571436979334575,4.62857243752015,3.8571436979334575,1.1571431093800375
188,김성민,6.4647904690998965,7.985917638299871,4.563381507599927,1.1408453768999818
189,박주홍,8.391892757095414,6.932433147165778,5.837838439718549,1.8243245124120464
190,우규민,6.187500983476795,5.625000894069814,1.687500268220944,0.5625000894069814
191,원종현,4.263158750666317,6.473685510271075,3.1578953708639386,0.6315790741727878
192,이현승,5.3149627053122686,8.92913734492461,4.464568672462305,0.4251970164249815
193,차우찬,5.34375,7.171875,3.9375,1.125
194,박희수,5.472973960433592,9.486488198084892,3.648649306955728,1.4594597227822912
195,이용찬,8.437500201165681,5.062500120699409,2.025000048279763,2.3625000563263905
