Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,PlayerId
"Se-woong Park 박세웅","Giants (KBO)",24,147.1,6.597285295625757,2.8710408230963944,2.29787234,1.2217194991899551,0.16413374,0.07142857,0.09270517,0.29353234,1.5203620434363885,0.33052632,0.72058824,4.703620071881327,4.9343589508626975,-0.2307388789813709,"kr3012427"
"Hyun-woo Jo 조현우","Wiz (KBO)",26,46.2,6.364287621829546,4.435715615214532,1.43478261,0.1928572006615014,0.16751269,0.11675127,0.05076142,0.21965318,1.307143248927954,0.26618705,0.75907591,3.085715210584022,3.9229498448664195,-0.8372346342823973,"kr3012431"
"Young-jun Lee 이영준","Heroes (KBO)",28,40,7.200002059937113,4.050001158714626,1.77777778,1.1250003218651738,0.18285714,0.10285714,0.08,0.26451613,1.4750004220010058,0.30508475,0.74074074,4.72500135183373,5.040807301998263,-0.31580595016453294,"kr3012432"
"Dong-wook Moon 문동욱","Eagles (KBO)",28,18,4.500000476837209,8.500000900692505,0.52941176,1.0000001059638242,0.10843373,0.20481928,-0.09638555,0.1875,1.6111112818306057,0.18867925,0.74468085,4.500000476837209,7.126918359450393,-2.626917882613184,"kr3012465"
"In-bok Lee 이인복","Giants (KBO)",29,45.1,4.169118816465158,2.382353609408662,1.75,0.3970589349014436,0.10552764,0.06030151,0.04522613,0.30645161,1.522059250455534,0.33742331,0.71428571,3.9705893490144364,4.023159949177317,-0.05257060016288051,"kr3012467"
"Young-kuk Hwang 황영국","Eagles (KBO)",24,19.1,7.913794404686633,6.5172424509184035,1.21428571,1.3965519537682294,0.16831683,0.13861386,0.02970297,0.34117647,2.224138296741995,0.4,0.56372549,10.241380994300348,6.257186626792738,3.9841943675076106,"kr3012481"
"Yeong-u Jo 조영우","Wyverns (KBO)",25,77,4.441558881641624,2.9220782116063315,1.52,1.4025975415710392,0.11176471,0.07352941,0.0382353,0.30670927,1.571428727130516,0.31939163,0.66854991,5.961039551676916,5.606716163774891,0.3543233879020251,"kr3012483"
"Seung-jin Lee 이승진","Bears (KBO)",25,51.1,9.46753410915867,3.8571435259535325,2.45454545,0.5259741171754817,0.23684211,0.09649123,0.14035088,0.26960784,1.5000002600930404,0.3537415,0.61497326,5.610390583205138,3.5742484342671923,2.036142148937946,"kr3012489"
"Geun-wook Lee 이건욱","Wyverns (KBO)",25,122,6.713114754098361,5.975409836065574,1.12345679,0.8114754098360656,0.16789668,0.14944649,0.01845019,0.23076923,1.5245901639344261,0.26628895,0.65118913,5.680327868852459,5.335478996839679,0.34484887201278,"kr3012490"
"Min-ho Park 박민호","Wyverns (KBO)",28,52,6.230770602029053,3.288462262182,1.89473684,0.6923078446698947,0.16744186,0.08837209,0.07906977,0.22164948,1.1923079547092632,0.25324675,0.82191781,2.4230774563446316,4.342730124603402,-1.9196526682587702,"kr3012493"
